Imdb,Title,Year,Rating
TT0452702,The Vacancy,2007,5
TT0114814,The Usual Suspects,1995,5
TT0063688,The Thomas Crown Affair Original,1968,6
TT1117385,Felon,2008,2
TT0332047,Fever Pitch,2005,7
TT0137523,Fight Club,1999,9
TT0195714,Final Destination i,2000,5
TT0309593,Final Destination ii,2003,5
TT0414982,Final Destination iii,2006,5
TT0266543,Finding Nemo,2003,4
TT0119137,Flubber,1997,3
TT0454824,Flyboys,2006,8
TT0385705,Football Factory,2004,8
TT0109830,Forrest Gump,1994,2
TT0488120,Fracture,2007,3
TT0116367,From Dusk Till Dawn i,1996,6
TT0120860,From Dusk Till Dawn ii,1999,5
TT0120681,From Hell,2001,10
TT0050419,Funny Face,1957,7
TT0113568,Ghost In The Shell,1995,2
TT0259324,Ghost Rider,2007,3
TT0087332,Ghostbusters i,1984,2
TT0097428,Ghostbusters ii,1989,2
TT0172495,Gladiator,2000,4
TT0139239,Go,1999,5
TT0187078,Gone In 60 Seconds,2000,5
TT0119217,Good Will Hunting,1997,6
TT0099685,Goodfellas,1990,6
TT0348836,Gothika,2003,8
TT0077631,Grease,1978,2
TT0087363,Gremlins i,1984,2
TT0099700,Gremlins ii,1990,2
TT0119229,Grosse Pointe Blank,1997,6
TT0107048,Groundhog Day,1993,2
TT0202381,Guest House Paradiso,1999,2
TT0113243,Hackers,1995,2
TT0422401,Hatchet,2006,4
TT0077651,Halloween,1978,3
TT0147612,Happiness,1998,6
TT0116483,Happy Gilmore,1996,3
TT0424136,Hard Candy,2005,7
TT0373889,Harry Potter And The Order Of The Phoenix,2007,3
TT0167190,Hellboy,2004,3
TT0400497,Herbie,2005,2
TT0071607,Herbie Rides Again,1974,3
TT0382077,Hide And Seek,2005,7
TT0146882,High Fidelity,2000,7
TT0386588,Hitch,2005,3
TT0099785,Home Alone i,1990,2
TT0104431,Home Alone ii : Lost In New York,1992,2
TT0119303,Home Alone iii,1997,2
TT0329200,Home Alone iv,1992,2
TT0102057,Hook,1991,2
TT0102059,Hoshots!,1991,2
TT0340163,Hostage,2005,3
TT0425112,Hot Fuzz,2007,4
TT0385004,House Of Flying Daggers,2004,4
TT0185371,House On Haunted Hill i,1999,6
TT0827782,Return To House On Haunted Hill,2007,5
TT0251127,How To Lose A Guy In 10 Days,2003,6
TT0120179,Speed ii,1997,2
TT0277027,I Am Sam,2001,8
TT0119345,I Know What You Did Last Summer,1997,5
TT0130018,I Still Know What You Did Last Summer,1998,4
TT0268380,Ice Age i,2002,6
TT0438097,Ice Age ii,2006,6
TT0296042,Ichi The Killer,2001,5
TT0497137,Im A Cyborg But Thats Ok,2006,8
TT0120710,In Dreams,1999,6
TT0116629,Independence Day,1996,5
TT0316023,Inner Senses,2002,6
TT0110148,Interview With A Vampire,1994,4
TT0099864,It,1990,3
TT0246460,James Bond: Die Another Day,2002,4
TT0120347,James Bond: Tomorrow Never Dies,1997,4
TT0097742,James Bond: Licence To Kill,1989,4
TT0090264,James Bond: A View To A Kill,1985,4
TT0076752,James Bond: The Spy Who Loved Me,1977,4
TT0064757,James Bond: On Her Majestys Secret Service,1969,4
TT0055928,James Bond: Dr No,1962,4
TT0086034,James Bond: Octopussy,1983,4
TT0082398,James Bond: For Your Eyes Only,1981,4
TT0079574,James Bond: Moonraker,1979,4
TT0070328,James Bond: Live And Let Die,1973,4
TT0062512,James Bond: You Only Live Twice,1967,4
TT0113189,James Bond: Goldeneye,1995,6
TT0058150,James Bond: Goldfinger,1964,4
TT0059800,James Bond: Thunderball,1965,4
TT0093428,James Bond: Living Daylights,1987,4
TT0143145,James Bond: The World Is Not Enough,1999,6
TT0066995,James Bond: Diamonds Are Forever,1971,4
